Day,Start Time,End Time,Course,UMS Class No.,Teacher,Program
MW,8:30,9:45,Information Security and Ethics,98642,Dr. Imran Khan,CS ECO
MW,8:30,9:45,Information Security and Ethics,98352,Dr. Imran Khan,CS
MW,8:30,9:45,Pakistan History,98668,Dr. Moiz Khan,CS EM MT BBA
MW,8:30,9:45,Pakistan History,98354,Dr. Jaffar Ahmed,CS
MW,8:30,9:45,Introduction to Artificial Intelligence,98355,Dr. Syed Ali Raza,CS ECO
MW,8:30,9:45,Physics,98356,Mr. Syed Mujahid Ali,CS
MW,8:30,9:45,Calculus-II,98454,Dr. Maqsood Alam,CS
MW,8:30,9:45,Data Structures,98528,Ms. Sadaf Alvi,CS ECO
MW,8:30,9:45,Speech Communication,98357,Dr. Nadya Qamar Chishty,CS
MW,10:00,11:15,Business Intelligience,98460,Ms. Abeera Tariq,CS
MW,10:00,11:15,Competitive Programming,98358,Dr. Imran Rauf,CS ECO
MW,10:00,11:15,Speech Communication,98362,Ms. Maria Hassan Siddiqui,CS
MW,10:00,11:15,Computer Communication and Networking,98403,Mr. M.Waseem Arain,CS
MW,10:00,11:15,Speech Communication,98363,Ms. Tazeen Erum,CS ECO
MW,10:00,11:15,Theory of Automata,98393,Dr. Shahid Hussain,CS
MW,10:00,11:15,Theory of Automata,98396,Dr. Shahid Hussain,CS
MW,10:00,11:15,Design and Analysis of Algorithm,98399,Dr. Jibran Rashid,CS ECO
MW,10:00,11:15,Design and Analysis of Algorithm,98400,Dr. Jibran Rashid,CS
MW,10:00,11:15,Computer Communication and Networking,98657,Ms. Tasbiha Fatima,CS
MW,11:30,12:45,Information Security and Ethics,98644,Dr. Syed Irfan Nabi,CS
MW,11:30,12:45,Information Security and Ethics,98405,Dr. Syed Irfan Nabi,CS
MW,11:30,12:45,Pakistan History,98655,Ms. Parmal Ahmed,CS
MW,11:30,12:45,Business Intelligience,98492,Ms. Abeera Tariq,CS
M,11:30,14:15,Computer Communication and Networking,98657,Ms. Tasbiha Fatima,CS
W,11:30,14:15,Computer Communication and Networking,98403,Mr. M. Waseem Arain,CS
MW,11:30,12:45,Introduction to Text Analytics,98419,Dr. Sajjad Haider,CS
